COLUMN,DESCRIPTION,TYPE,LENGTH,DECIML,RANGEVAL,UNITS,CODE,NOTES,TBLNAME,CRFNAME
ST113TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightRostralAnteriorCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST114CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightRostralMiddleFrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST114SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightRostralMiddleFrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST114TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightRostralMiddleFrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST114TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightRostralMiddleFrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST115CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightSuperiorFrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST115SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightSuperiorFrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST115TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightSuperiorFrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST115TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightSuperiorFrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST116CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightSuperiorParietal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST116SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightSuperiorParietal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST116TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightSuperiorParietal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST116TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightSuperiorParietal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST117CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightSuperiorTemporal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST117SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightSuperiorTemporal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST117TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightSuperiorTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST117TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightSuperiorTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST118CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightSupramarginal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST118SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightSupramarginal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST118TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightSupramarginal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST118TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightSupramarginal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST119CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightTemporalPole,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST119SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightTemporalPole,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST119TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightTemporalPole,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST119TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightTemporalPole,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST11SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftAccumbensArea,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST120SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightThalamus,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST121CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightTransverseTemporal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST121SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightTransverseTemporal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST121TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightTransverseTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST121TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightTransverseTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST122SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightUndetermined,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST123CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightUnknown,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST123SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightUnknown,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST123TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightUnknown,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST123TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightUnknown,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST124SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightVentralDC,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST125SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightVessel,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST126SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of RightWMHypoIntensities,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST127SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of ThirdVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST128SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of WMHypoIntensities,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST129CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftInsula,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST129SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftInsula,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST129TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftInsula,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST129TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftInsula,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST12SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftAmygdala,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST130CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of RightInsula,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST130SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of RightInsula,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST130TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of RightInsula,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST130TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of RightInsula,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST13CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftBankssts,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST13SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftBankssts,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST13TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftBankssts,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST13TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftBankssts,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST14CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftCaudalAnteriorCingulate,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST14SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftCaudalAnteriorCingulate,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST14TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftCaudalAnteriorCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST14TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftCaudalAnteriorCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST15CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftCaudalMiddleFrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST15SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftCaudalMiddleFrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST15TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftCaudalMiddleFrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST15TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftCaudalMiddleFrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST16SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftCaudate,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST17SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftCerebellumCortex,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST18SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftCerebellumWM,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST19SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftCerebralCortex,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST1SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of Brainstem,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST20SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftCerebralWM,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST21SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftChoroidPlexus,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST22CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftCorpusCallosum,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST22SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftCorpusCallosum,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST22TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftCorpusCallosum,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST22TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftCorpusCallosum,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST23CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftCuneus,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST23SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftCuneus,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST23TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftCuneus,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST23TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftCuneus,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST24CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftEntorhinal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST24SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftEntorhinal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST24TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftEntorhinal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST24TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftEntorhinal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST25CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftFrontalPole,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST25SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftFrontalPole,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST25TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftFrontalPole,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST25TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftFrontalPole,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST26CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftFusiform,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST26SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftFusiform,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST26TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftFusiform,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST26TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftFusiform,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST27SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftHemisphere,N,16,2,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST28CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftHemisphereWM,N,10,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST29SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftHippocampus,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST2SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of CorpusCallosumAnterior,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST30SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftInferiorLateralVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST31CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftInferiorParietal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST31SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftInferiorParietal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST31TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftInferiorParietal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST31TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftInferiorParietal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST32CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftInferiorTemporal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST32SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftInferiorTemporal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST32TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftInferiorTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST32TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftInferiorTemporal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST33SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftInterior,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST34CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftIsthmusCingulate,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST34SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftIsthmusCingulate,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST34TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftIsthmusCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST34TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftIsthmusCingulate,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST35CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftLateralOccipital,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST35SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftLateralOccipital,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST35TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftLateralOccipital,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST35TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftLateralOccipital,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST36CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftLateralOrbitofrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST36SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftLateralOrbitofrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST36TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftLateralOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST36TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftLateralOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST37SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of LeftLateralVentricle,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST38CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftLingual,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST38SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftLingual,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST38TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftLingual,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST38TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftLingual,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST39CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftMedialOrbitofrontal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST39SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Surface Area of LeftMedialOrbitofrontal,N,5,0,,mm2,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST39TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Average of LeftMedialOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST39TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Cortical Thickness Standard Deviation of LeftMedialOrbitofrontal,N,4,3,,mm,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST3SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (WM Parcellation) of CorpusCallosumCentral,N,8,1,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
ST40CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,Volume (Cortical Parcellation) of LeftMiddleTemporal,N,5,0,,mm3,,,UCSFFSL,Longitudinal FreeSurfer (FreeSurfer Version 4.4)
